Label,Left_start,Left_end,Right_start,Right_end
1.0,170.9061,172.7861,132.4805,134.3605
2.0,172.8261,173.4261,134.4005,135.0005
3.0,173.5861,177.5061,135.1605,139.0805
5.0,177.7861,201.4661,139.3605,163.0405
4.0,204.3861,208.3861,165.9605,169.9605
11.0,211.2661,220.5461,172.8405,182.1205
2.0,221.9861,224.0661,183.5605,185.6405
6.0,226.9861,229.3061,188.5605,190.8805
11.0,229.9061,240.1061,191.4805,201.6805
8.0,241.1461,252.3861,202.7205,213.9605
3.0,252.4261,255.9461,214.0005,217.5205
5.0,257.4661,278.3461,219.0405,239.9205
4.0,279.5061,284.2661,241.0805,245.8405
9.0,286.5061,288.1861,248.0805,249.7605
8.0,288.3461,299.2261,249.9205,260.8005
3.0,299.3461,302.7461,260.9205,264.3205
5.0,308.0261,318.0661,269.6005,279.6405
4.0,319.6661,323.5061,281.2405,285.0805
6.0,325.1461,327.5061,286.7205,289.0805
8.0,328.1861,331.1461,289.7605,292.7205
3.0,331.2261,335.2261,292.8005,296.8005
5.0,342.0261,347.9461,303.6005,309.5205
4.0,354.1861,358.3461,315.7605,319.9205
7.0,358.7061,360.1861,320.2805,321.7605
8.0,361.6261,363.4261,323.2005,325.0005
3.0,363.4661,366.2661,325.0405,327.8405
5.0,366.7061,386.3461,328.2805,347.9205
4.0,388.0261,392.0261,349.6005,353.6005
6.0,393.2261,397.4261,354.8005,359.0005
3.0,397.5861,401.3461,359.1605,362.9205
5.0,408.2661,419.1461,369.8405,380.7205
4.0,420.7061,425.3861,382.2805,386.9605
