Label,Left_start,Left_end,Right_start,Right_end
1.0,1109.4261,1110.9061,1071.0005,1072.4805
2.0,1110.9461,1111.5861,1072.5205,1073.1605
3.0,1111.6661,1114.7461,1073.2405,1076.3205
5.0,1115.0261,1206.9061,1076.6005,1168.4805
4.0,1208.6261,1212.8261,1170.2005,1174.4005
2.0,1213.6261,1215.3061,1175.2005,1176.8805
6.0,1216.3461,1217.3461,1177.9205,1178.9205
7.0,1217.3861,1218.1861,1178.9605,1179.7605
8.0,1218.8661,1224.8261,1180.4405,1186.4005
3.0,1224.9061,1228.0661,1186.4805,1189.6405
11.0,1227.1061,1240.1861,1188.6805,1201.7605
5.0,1243.0261,1264.4261,1204.6005,1226.0005
4.0,1265.7461,1268.8261,1227.3205,1230.4005
9.0,1269.9861,1278.7461,1231.5605,1240.3205
6.0,1279.3461,1280.9461,1240.9205,1242.5205
8.0,1281.5061,1284.0261,1243.0805,1245.6005
3.0,1284.1461,1286.5461,1245.7205,1248.1205
5.0,1287.2261,1323.5861,1248.8005,1285.1605
4.0,1325.1061,1328.7461,1286.6805,1290.3205
3.0,1329.2261,1330.3461,1290.8005,1291.9205
4.0,1330.4261,1333.4261,1292.0005,1295.0005
8.0,1346.1861,1348.5061,1307.7605,1310.0805
9.0,1348.5861,1349.8661,1310.1605,1311.4405
8.0,1350.4261,1353.2661,1312.0005,1314.8405
3.0,1353.3061,1355.5861,1314.8805,1317.1605
5.0,1356.0661,1386.1061,1317.6405,1347.6805
4.0,1387.1861,1390.1861,1348.7605,1351.7605
8.0,1390.9461,1391.7861,1352.5205,1353.3605
6.0,1392.1061,1393.7861,1353.6805,1355.3605
8.0,1394.0261,1395.5461,1355.6005,1357.1205
3.0,1395.5861,1398.0661,1357.1605,1359.6405
5.0,1401.5061,1426.8261,1363.0805,1388.4005
4.0,1428.7461,1432.9861,1390.3205,1394.5605
6.0,1433.8661,1435.7861,1395.4405,1397.3605
3.0,1435.9461,1440.5461,1397.5205,1402.1205
5.0,1440.5861,1483.4661,1402.1605,1445.0405
4.0,1484.4661,1488.5861,1446.0405,1450.1605
