Label,Left_start,Left_end,Right_start,Right_end
3.0,734.3061,737.5461,695.8805,699.1205
5.0,739.1061,770.4261,700.6805,732.0005
4.0,771.7061,775.2261,733.2805,736.8005
1.0,777.7061,780.6661,739.2805,742.2405
2.0,781.3061,782.5861,742.8805,744.1605
3.0,782.6261,785.4661,744.2005,747.0405
5.0,787.3861,825.0661,748.9605,786.6405
4.0,826.3861,830.9861,787.9605,792.5605
2.0,831.6661,833.1061,793.2405,794.6805
11.0,833.7061,835.1461,795.2805,796.7205
6.0,837.9461,842.4661,799.5205,804.0405
3.0,843.2261,848.3461,804.8005,809.9205
5.0,849.1461,886.4661,810.7205,848.0405
4.0,887.9861,891.2261,849.5605,852.8005
7.0,892.8261,893.8661,854.4005,855.4405
8.0,894.1861,896.9461,855.7605,858.5205
3.0,897.0261,900.4661,858.6005,862.0405
5.0,900.9861,941.1861,862.5605,902.7605
4.0,942.4261,946.1061,904.0005,907.6805
8.0,946.7861,947.8261,908.3605,909.4005
6.0,948.5861,951.9861,910.1605,913.5605
8.0,952.3461,954.6661,913.9205,916.2405
3.0,954.5061,958.6261,916.0805,920.2005
11.0,957.4261,970.1061,919.0005,931.6805
5.0,972.4261,1016.6261,934.0005,978.2005
11.0,1017.5461,1020.7461,979.1205,982.3205
4.0,1022.4661,1026.6261,984.0405,988.2005
8.0,1027.6661,1028.7061,989.2405,990.2805
9.0,1028.7461,1031.3061,990.3205,992.8805
8.0,1032.1461,1035.1861,993.7205,996.7605
3.0,1035.2261,1038.1461,996.8005,999.7205
5.0,1040.5061,1068.9861,1002.0805,1030.5605
4.0,1070.4261,1075.1061,1032.0005,1036.6805
8.0,1075.1461,1077.0661,1036.7205,1038.6405
6.0,1078.7861,1080.1861,1040.3605,1041.7605
1.0,1080.6661,1081.9061,1042.2405,1043.4805
11.0,1082.9861,1084.2261,1044.5605,1045.8005
